Code,Description,Manufacturer,Official_Severity,Color_Raw,Operator_Action,Product_Type,Occurrences_2025,Containers_Affected,Containers_With_True_Failure,Empirical_Failure_Rate,Recommendation
40,Check Engine Preheat Circuit,Carrier,Yellow,check,"Unit will restart, report reactivation.",Carrier APX,1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Unit will restart, report reactivation."
128,Low/Unbalanced A/C Amps,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,1,1,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Check and repair at end of trip.
129,Check Engine Coolant Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,1,1,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Check and repair at end of trip.
137,C2 Check Return Air Sensor,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Reset*, report reactivation."
4002,High Economizer Superheat,Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Reset, report reactivation."
5009,Check Standby Contactor1,Carrier,Red,take action,Report and repair immediately.,Carrier APX,1,1,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | Carrier action: Report and repair immediately."
23101,Output Lost Configuration,Carrier,Red,take action,Report and repair immediately.,Carrier APX,1,1,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | Carrier action: Report and repair immediately."
25102,Check Input Voltage STP1,Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Reset, report reactivation."
182,Check SV1 Valve,ThermoKing,Yellow,,Not in manufacturer reference,Telematics/Unknown,1,1,0,0.0,Observed in 2025 telematics but NOT in manufacturer alarm reference. Empirical failure rate: 0%. Investigate context.
0,No Alarms Exist,ThermoKing,Green,ok,No action required.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
8,Unit Running on Coil Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
9,High Evaporator Temperature (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
14,Defrost Terminated by Time,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
19,Low Engine Oil Pressure,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
21,Cooling Cycle Check (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
22,Heating Cycle Check (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
23,Cooling Cycle Fault (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
24,Heating Cycle Fault (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
27,Vapor Motor RPM High (CR),ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
38,Electric Phase Reversed,ThermoKing,Red,take action,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
39,Check Water Valve Circuit,ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
46,Check Air Flow (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
47,Remote Sensor Shutdown,ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
48,Check Belts or Clutch,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
49,Check Spare Sensor 1,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
50,Reset Clock,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
52,Check Heat Circuit (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
55,Check Engine Speeds,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
56,Check Evaporator Fan Low Speed (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
57,Check Evaporator Fan High Speed (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
61,Low Battery Voltage,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
62,Ammeter Out of Calibration,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
64,Pretrip Reminder,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
65,Abnormal Temperature Differential (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
66,Low Engine Oil Level,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
67,Check Liquid Line Solenoid Circuit (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
70,Hourmeter Failure,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
71,Hourmeter 4 Exceeds Set Time Limit,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
72,Hourmeter 5 Exceeds Set Time Limit,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
73,Hourmeter 6 Exceeds Set Time Limit,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
74,Controller Reset to Defaults,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
75,Controller RAM Failure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
76,Controller EPROM Failure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
77,Controller EPROM Checksum Failure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
80,Check Compressor Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
81,High Compressor Temp,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
82,High Compressor Temp Shutdown,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
83,Low Engine Coolant Temp,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
88,Reserved for CR,ThermoKing,Green,ok,nan,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
90,Electric Overload,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
91,Check Electric Ready Input,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
92,Sensor Grades Not Set (Zone),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
93,Low Compressor Suction Pressure,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
99,High Compressor Pressure Ratio,ThermoKing,Red,take action,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
100,Heater Fan Failure (CR),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
101,Controlling on Evap Coil Outlet Temp (CR),ThermoKing,Red,take action,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
102,Low Evaporator Coil Temperature (CR),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
103,Low Heater Fuel Level (CR),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
104,Check Remote Fan Speed (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
105,Check Receiver Tank Press Sol Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
106,Check Purge Valve Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
107,Check Condenser Inlet Sol Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
109,Check High Discharge Pressure Sensor,ThermoKing,Unknown,na,Replaced by Alarm Code 86,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
110,Check Suction Line Sol Circuit (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
112,Check Remote Fans (Zone),ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
113,Check Electric Heat Circuit (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
114,Multiple Alarms - Can Not Run (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
115,Check High Pressure Cut Out Switch,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
116,Check High Pressure Cut In Switch,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
117,Auto Switch from Diesel to Electric,ThermoKing,Green,ok,Normal operation – does not affect performance.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
118,Auto Switch from Electric to Diesel,ThermoKing,Green,ok,Normal operation – does not affect performance.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
119,Reserved for CR,ThermoKing,Unknown,na,nan,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
120,Check Alternator Excite Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
125,Check Tank Level Sensor (CR),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
130,Electric Run Time Maint Reminder #1,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
131,Electric Run Time Maint Reminder #2,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
133,Total Unit Run Time Maint Reminder #2,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
134,Controller Power On Hours,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
135,Check Spare Digital Inputs,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
136,Check Spare Digital Outputs,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
138,Log DAS Real Time Clock Battery Failure (DAS),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
139,Abort Evacuation Mode,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
140,Not currently used,ThermoKing,Unknown,na,nan,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
141,Auto Switch Diesel to Electric Disabled,ThermoKing,Yellow,check,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
142,Check Thermax Valve,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
143,Check Remote Drain Hose Heater Output (Zone),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
144,Lost CAN Communications to Expansion Module,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
145,Lost Controller ON Feedback Signal,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
146,Software Version Mismatch,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
147,Check Multi-Temp Fan Speed Control Output (Zone),ThermoKing,Yellow,check,Manually monitor load temperature. Report this alarm at the end of the day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
148,Auto Switch Electric to Diesel Disabled,ThermoKing,Yellow,check,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
149,Alarm Not Identified,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
150,Sensor Out of Range Low (DAS and HMI) (Zone),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
151,Sensor Out of Range High (DAS and HMI) (Zone),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
152,DAS Failed Sensor (DAS),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
153,Expansion Module Flash Load Failure,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
154,Low Suction Pressure Switch Failure,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
155,Lost CAN Communications to HMI,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
156,Check Suction/Liquid Heat Exchanger Bypass Valve,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
157,OptiSet Plus Profile Mismatch,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
158,Primary Software Failed to Load,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
160,Lost CAN Communications to Radio Expansion Board,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
161,Log DAS Real Time Clock Invalid (DAS),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
163,Emission Control Failure,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
175,Check Electronic Expansion Valve (CR),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
176,Check Evaporator Pressure Sensor (CR),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
177,Check CO 2 Tank Pressure Sensor (CR),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
178,Low CO 2 Fuel Level (CR),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
180,TriPac Compressor Alarm,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
188,Log DAS Microprocessor Fault (DAS),ThermoKing,Yellow,check,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
216,Check DAS Digital Inputs (DAS),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
233,"REB Switching Off, Conservative to Full Null",ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
234,Check Relative Humidity Sensor Circuit,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
235,High Engine Coolant Temperature Check,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
250,DAS Clock Time Reset (DAS),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
251,Check Radio Expansion Board Configuration,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
252,Check Auto Fresh Air Exchange Circuit,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
253,"REB On Back Up Battery, Alarms Disabled",ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
254,Check Auxiliary Coolant Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",0,0,0,,Not observed in 2025. Per TK manual: informational only.
500,Check Host Evaporator Blower Low Speed,ThermoKing,Yellow,check,Not implemented,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
501,Check Host Evaporator Blower High Speed,ThermoKing,Yellow,check,Not implemented,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
505,Check Roadside Condenser Fan Motor Speed Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
506,Check Curbside Condenser Fan Motor Speed Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
507,Check Digital Scroll Output Circuit (Scroll Only),ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
508,Speed Request Communication Error,ThermoKing,Green,ok,Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
509,ECU Failed to Enable,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
510,ECU Run Signal Failed,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
511,Engine Wait to Start Time Delay Expired,ThermoKing,Green,ok,Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
512,High Compressor Suction Pressure (Scroll Only),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
513,Low Compressor Suction Ratio (Scroll Only),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
514,Low Compressor Discharge Pressure (Scroll Only),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
515,Minimum ETV Discharge Superheat Temp (Scroll),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
516,I/O Controller to Application Controller Com Failure,ThermoKing,Red,take action,The unit is no longer able to operate and has been shut down. Repair immediately.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
521,Battery Charger External/Environmental Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
523,Battery Charger Indicated Conditions,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
524,Generator Op Limit V out to Frequency Ration,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
525,Generator Frequency Range Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
526,Generator Operational Limit Output Current,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
530,Low Pressure Differential (Scroll only),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
